Operations_ID,Product_ID,Product_Name,Product_Category,Production_Date,Production_Quantity,Quality_Metrics,Quantity_in_Stock,Quantity_Sold,Supplier_ID,Supplier_Name,Lead_Time,Employee_ID,Employee_Name,Shift_Information,Maintenance_Type,Downtime_Duration,Energy_Consumption_Data,Production_Time,Downtime_Events,Employee_Rating,Downtime_Reason
25,1,Refrigerator,Home Appliances,6/1/2023,339,Passed,127,212,8,"Adams, Murphy and Wilson",8,10,Cheryl Nunez,Night Shift,Routine Maintenance,4.597553514,1235.950089,6.413255734,1,3,Material Shortage
26,7,Industrial Cookers,Industrial Machinery,6/22/2023,479,Passed,478,1,1,"Barnes, Butler and Russell",2,1,Amber Powell,Morning Shift,Routine Maintenance,3.925158857,945.8040571,5.347567592,2,4,Technical Issues
27,5,Air Conditioners,Home Appliances,5/9/2023,768,Passed,420,348,10,Campbell-Wong,10,8,Sarah Lloyd,Afternoon Shift,Routine Maintenance,4.874601222,1095.633628,11.87605649,5,4,Technical Issues
28,1,Refrigerator,Home Appliances,6/16/2023,368,Failed,367,1,7,Ferguson Inc,9,10,Cheryl Nunez,Night Shift,Routine Maintenance,4.282204702,996.7754283,9.354261099,5,4,Human Error
29,7,Industrial Cookers,Industrial Machinery,7/24/2023,481,Passed,480,1,7,Ferguson Inc,5,3,Melissa Kim,Afternoon Shift,Repairs,3.72415844,1177.63202,10.47857117,5,1,Human Error
30,2,Washing Machine,Home Appliances,4/13/2023,269,Passed,148,121,10,Campbell-Wong,2,5,David Floyd,Afternoon Shift,Repairs,4.176898783,1225.561373,10.69276851,4,3,Human Error
31,5,Air Conditioners,Home Appliances,5/29/2023,494,Failed,91,403,5,Hawkins-Miller,10,8,Sarah Lloyd,Afternoon Shift,Repairs,2.681824499,961.8698012,5.348600851,4,3,Material Shortage
32,2,Washing Machine,Home Appliances,5/10/2023,364,Passed,290,74,7,Ferguson Inc,6,2,Ashley Herring,Night Shift,Routine Maintenance,none,1198.807192,9.22508942,0,1,Human Error
33,4,Diesel Generator,Industrial Machinery,9/25/2023,379,Passed,110,269,2,"Moore, Hernandez and Munoz",2,5,David Floyd,Afternoon Shift,Routine Maintenance,3.81799709,926.8419211,7.809460978,4,1,Human Error
34,6,Microwave Ovens,Home Appliances,7/10/2023,798,Passed,88,710,8,"Adams, Murphy and Wilson",7,4,Megan Allen,Night Shift,Routine Maintenance,2.568905829,1069.567257,4.242094001,2,2,Human Error
35,7,Industrial Cookers,Industrial Machinery,7/15/2023,699,Passed,179,520,3,Hartman-Banks,5,3,Melissa Kim,Afternoon Shift,Routine Maintenance,4.768898477,1281.267137,8.059123419,4,2,Material Shortage
36,4,Diesel Generator,Industrial Machinery,9/7/2023,899,Passed,354,545,4,"Yang, Walker and George",7,4,Megan Allen,Night Shift,Repairs,3.953602134,1020.2887,10.54313532,2,3,Material Shortage
37,5,Air Conditioners,Home Appliances,5/31/2023,826,Passed,430,396,10,Campbell-Wong,7,6,Taylor Davis,Morning Shift,Repairs,1.641333948,1151.906424,7.024144783,1,2,Material Shortage
38,6,Microwave Ovens,Home Appliances,8/19/2023,216,Passed,105,111,7,Ferguson Inc,10,9,Natasha Thomas,Morning Shift,Routine Maintenance,2.231045608,1260.424425,6.595513159,1,2,Technical Issues
39,3,Industrial Mixer,Industrial Machinery,5/25/2023,673,Passed,396,277,6,"Hill, Thomas and Neal",5,1,Amber Powell,Morning Shift,Repairs,3.91692339,847.2060716,9.391779561,2,4,Technical Issues
40,6,Microwave Ovens,Home Appliances,8/19/2023,515,Failed,145,370,10,Campbell-Wong,6,7,Victor Hernandez,Night Shift,Repairs,2.489752888,1055.42976,7.119797611,4,2,Material Shortage
41,3,Industrial Mixer,Industrial Machinery,9/16/2023,554,Failed,480,74,8,"Adams, Murphy and Wilson",10,5,David Floyd,Afternoon Shift,Repairs,3.535164223,996.6098843,3.820659038,3,2,Technical Issues
42,3,Industrial Mixer,Industrial Machinery,8/22/2023,400,Passed,399,1,3,Hartman-Banks,9,9,Natasha Thomas,Morning Shift,Repairs,2.891115099,1299.411492,5.228797925,2,3,Human Error
43,7,Industrial Cookers,Industrial Machinery,9/26/2023,417,Passed,416,1,10,Campbell-Wong,5,10,Cheryl Nunez,Night Shift,Routine Maintenance,3.62576008,1177.93831,5.533695678,5,3,Technical Issues
44,4,Diesel Generator,Industrial Machinery,8/30/2023,477,Passed,234,243,4,"Yang, Walker and George",2,6,Taylor Davis,Morning Shift,Routine Maintenance,2.215339692,1194.542571,11.37916419,3,5,Material Shortage
45,5,Air Conditioners,Home Appliances,6/13/2023,332,Passed,331,1,9,Lawson-Herrera,3,1,Amber Powell,Morning Shift,Routine Maintenance,none,883.6884036,11.97542127,0,5,Material Shortage
46,5,Air Conditioners,Home Appliances,7/23/2023,344,Passed,140,204,5,Hawkins-Miller,9,6,Taylor Davis,Morning Shift,Routine Maintenance,1.103480129,956.0488208,11.80993418,3,4,Human Error
47,4,Diesel Generator,Industrial Machinery,4/18/2023,368,Passed,192,176,9,Lawson-Herrera,10,8,Sarah Lloyd,Afternoon Shift,Repairs,2.034186284,863.3510286,4.592179968,5,1,Human Error
48,6,Microwave Ovens,Home Appliances,5/21/2023,379,Passed,378,1,5,Hawkins-Miller,2,2,Ashley Herring,Night Shift,Routine Maintenance,1.838082321,931.1577358,6.226072837,1,5,Technical Issues
49,2,Washing Machine,Home Appliances,8/10/2023,588,Passed,407,181,1,"Barnes, Butler and Russell",2,1,Amber Powell,Morning Shift,Routine Maintenance,3.049937973,1064.298882,7.20203347,4,3,Material Shortage
50,4,Diesel Generator,Industrial Machinery,7/24/2023,505,Passed,159,346,10,Campbell-Wong,1,1,Amber Powell,Morning Shift,Routine Maintenance,2.841344185,1200.198053,3.22058456,3,1,Technical Issues
51,6,Microwave Ovens,Home Appliances,5/31/2023,908,Passed,399,509,2,"Moore, Hernandez and Munoz",6,10,Cheryl Nunez,Night Shift,Repairs,1.806851839,1270.138698,6.561717457,5,4,Technical Issues
52,1,Refrigerator,Home Appliances,4/11/2023,412,Passed,333,79,4,"Yang, Walker and George",3,7,Victor Hernandez,Night Shift,Repairs,2.462439545,1328.724535,9.424495194,1,2,Material Shortage
53,6,Microwave Ovens,Home Appliances,9/8/2023,349,Failed,54,295,6,"Hill, Thomas and Neal",2,4,Megan Allen,Night Shift,Repairs,2.233555089,903.1691124,6.266693168,4,3,Human Error
54,2,Washing Machine,Home Appliances,6/6/2023,684,Failed,86,598,2,"Moore, Hernandez and Munoz",6,5,David Floyd,Afternoon Shift,Repairs,none,1308.902686,9.467064833,0,2,Technical Issues
55,4,Diesel Generator,Industrial Machinery,9/12/2023,601,Passed,194,407,1,"Barnes, Butler and Russell",9,5,David Floyd,Afternoon Shift,Repairs,2.170278092,1147.31949,10.07174472,4,1,Human Error
56,2,Washing Machine,Home Appliances,6/27/2023,439,Failed,438,1,4,"Yang, Walker and George",9,1,Amber Powell,Morning Shift,Routine Maintenance,1.715951294,980.9328837,8.922984267,5,4,Material Shortage
57,5,Air Conditioners,Home Appliances,8/15/2023,171,In-Between,123,48,1,"Barnes, Butler and Russell",9,10,Cheryl Nunez,Night Shift,Routine Maintenance,none,1073.037671,8.125127749,0,4,Technical Issues
58,1,Refrigerator,Home Appliances,5/15/2023,448,Passed,343,105,2,"Moore, Hernandez and Munoz",4,4,Megan Allen,Night Shift,Repairs,2.906743709,816.9317522,5.428536627,2,2,Human Error
59,4,Diesel Generator,Industrial Machinery,8/28/2023,466,Failed,272,194,8,"Adams, Murphy and Wilson",10,9,Natasha Thomas,Morning Shift,Routine Maintenance,1.363573784,1080.440266,5.134025759,2,4,Technical Issues
60,6,Microwave Ovens,Home Appliances,6/28/2023,957,Failed,332,625,3,Hartman-Banks,10,6,Taylor Davis,Morning Shift,Routine Maintenance,2.64015837,949.013593,11.85193891,4,3,Technical Issues
61,2,Washing Machine,Home Appliances,6/25/2023,635,Passed,307,328,3,Hartman-Banks,6,8,Sarah Lloyd,Afternoon Shift,Repairs,3.660680374,1285.937846,7.685667701,1,4,Technical Issues
62,1,Refrigerator,Home Appliances,7/1/2023,501,Passed,500,1,3,Hartman-Banks,3,9,Natasha Thomas,Morning Shift,Routine Maintenance,4.485792535,1210.285843,6.478174785,5,2,Technical Issues
63,4,Diesel Generator,Industrial Machinery,6/20/2023,665,Passed,127,538,8,"Adams, Murphy and Wilson",8,5,David Floyd,Afternoon Shift,Routine Maintenance,none,933.2329399,9.730899379,0,1,Technical Issues
64,2,Washing Machine,Home Appliances,6/7/2023,317,Passed,316,1,8,"Adams, Murphy and Wilson",7,3,Melissa Kim,Afternoon Shift,Repairs,1.617048176,1085.350794,8.784524544,2,4,Human Error
65,3,Industrial Mixer,Industrial Machinery,4/24/2023,795,Passed,493,302,8,"Adams, Murphy and Wilson",2,9,Natasha Thomas,Morning Shift,Routine Maintenance,3.560877224,1249.221326,10.86282887,4,4,Material Shortage
66,3,Industrial Mixer,Industrial Machinery,7/3/2023,823,Failed,140,683,7,Ferguson Inc,1,1,Amber Powell,Morning Shift,Routine Maintenance,none,962.6816163,5.313745603,0,2,Human Error
67,5,Air Conditioners,Home Appliances,6/9/2023,343,Passed,342,1,4,"Yang, Walker and George",8,5,David Floyd,Afternoon Shift,Repairs,3.185492569,1318.744613,10.84590569,4,3,Technical Issues
68,5,Air Conditioners,Home Appliances,6/3/2023,497,Passed,350,147,3,Hartman-Banks,4,2,Ashley Herring,Night Shift,Repairs,4.422197231,1013.41855,8.432909208,5,3,Material Shortage
69,6,Microwave Ovens,Home Appliances,4/4/2023,541,Failed,251,290,5,Hawkins-Miller,1,10,Cheryl Nunez,Night Shift,Repairs,2.448128784,1247.995874,5.148990022,2,2,Human Error
70,3,Industrial Mixer,Industrial Machinery,9/29/2023,842,Passed,146,696,6,"Hill, Thomas and Neal",9,4,Megan Allen,Night Shift,Repairs,1.872577559,1260.894178,6.886698716,5,4,Human Error
71,5,Air Conditioners,Home Appliances,9/15/2023,143,In-Between,79,64,10,Campbell-Wong,1,9,Natasha Thomas,Morning Shift,Repairs,none,930.09974,9.393639198,0,3,Material Shortage
72,5,Air Conditioners,Home Appliances,6/11/2023,704,Passed,423,281,3,Hartman-Banks,4,8,Sarah Lloyd,Afternoon Shift,Repairs,4.201344436,1004.028362,6.809403744,5,5,Human Error
73,3,Industrial Mixer,Industrial Machinery,9/2/2023,834,Passed,250,584,10,Campbell-Wong,7,2,Ashley Herring,Night Shift,Repairs,none,1328.099502,4.140793351,0,3,Technical Issues
74,7,Industrial Cookers,Industrial Machinery,5/8/2023,493,Passed,198,295,3,Hartman-Banks,10,7,Victor Hernandez,Night Shift,Routine Maintenance,none,1181.893545,11.40844609,0,2,Human Error
75,4,Diesel Generator,Industrial Machinery,8/16/2023,646,Passed,347,299,5,Hawkins-Miller,4,5,David Floyd,Afternoon Shift,Routine Maintenance,3.869762477,1050.308109,5.608319794,3,4,Technical Issues
76,3,Industrial Mixer,Industrial Machinery,9/17/2023,702,Passed,205,497,10,Campbell-Wong,3,2,Ashley Herring,Night Shift,Repairs,2.660149738,1057.325475,3.96835263,4,2,Human Error
77,7,Industrial Cookers,Industrial Machinery,4/10/2023,456,Failed,321,135,9,Lawson-Herrera,5,8,Sarah Lloyd,Afternoon Shift,Routine Maintenance,1.57202885,851.2074492,9.491115806,4,3,Technical Issues
78,3,Industrial Mixer,Industrial Machinery,5/26/2023,782,Failed,457,325,7,Ferguson Inc,2,9,Natasha Thomas,Morning Shift,Routine Maintenance,2.258820789,839.2250925,8.373902758,4,3,Technical Issues
79,5,Air Conditioners,Home Appliances,5/24/2023,909,Failed,150,759,9,Lawson-Herrera,10,4,Megan Allen,Night Shift,Repairs,4.539006849,1281.513463,10.65424339,5,1,Human Error
80,4,Diesel Generator,Industrial Machinery,5/3/2023,450,Passed,111,339,3,Hartman-Banks,4,10,Cheryl Nunez,Night Shift,Routine Maintenance,2.820844694,1240.049598,4.988050453,4,3,Material Shortage
81,5,Air Conditioners,Home Appliances,4/10/2023,986,Passed,362,624,2,"Moore, Hernandez and Munoz",5,7,Victor Hernandez,Night Shift,Routine Maintenance,none,1254.236298,7.318353571,0,3,Human Error
82,3,Industrial Mixer,Industrial Machinery,4/13/2023,172,Passed,171,1,4,"Yang, Walker and George",4,5,David Floyd,Afternoon Shift,Repairs,2.004456298,1296.437877,3.975765802,4,1,Technical Issues
83,7,Industrial Cookers,Industrial Machinery,8/21/2023,313,Failed,312,1,1,"Barnes, Butler and Russell",5,5,David Floyd,Afternoon Shift,Routine Maintenance,2.086880933,926.9943877,7.951574872,4,1,Material Shortage
84,4,Diesel Generator,Industrial Machinery,8/14/2023,789,Passed,305,484,1,"Barnes, Butler and Russell",8,6,Taylor Davis,Morning Shift,Repairs,none,1304.817455,4.392627232,0,5,Human Error
85,2,Washing Machine,Home Appliances,4/17/2023,367,In-Between,293,74,2,"Moore, Hernandez and Munoz",3,10,Cheryl Nunez,Night Shift,Repairs,2.161094411,1182.240265,9.338430938,1,5,Human Error
86,2,Washing Machine,Home Appliances,4/17/2023,622,Passed,342,280,1,"Barnes, Butler and Russell",5,9,Natasha Thomas,Morning Shift,Repairs,3.438798674,915.6586383,6.12272852,2,4,Technical Issues
87,5,Air Conditioners,Home Appliances,8/11/2023,260,Passed,259,1,3,Hartman-Banks,5,8,Sarah Lloyd,Afternoon Shift,Repairs,none,1280.193142,9.033625923,0,3,Human Error
88,7,Industrial Cookers,Industrial Machinery,8/7/2023,468,Passed,467,1,3,Hartman-Banks,4,3,Melissa Kim,Afternoon Shift,Repairs,none,882.3520176,5.689950658,0,4,Material Shortage
89,2,Washing Machine,Home Appliances,6/7/2023,394,Failed,389,5,9,Lawson-Herrera,2,4,Megan Allen,Night Shift,Routine Maintenance,none,855.4599743,8.616401088,0,1,Technical Issues
90,2,Washing Machine,Home Appliances,8/24/2023,606,Failed,376,230,2,"Moore, Hernandez and Munoz",8,2,Ashley Herring,Night Shift,Routine Maintenance,none,1014.728733,5.806150407,0,5,Technical Issues
91,3,Industrial Mixer,Industrial Machinery,6/29/2023,720,Failed,498,222,5,Hawkins-Miller,10,1,Amber Powell,Morning Shift,Repairs,2.314178748,830.9882698,7.213430364,3,3,Technical Issues
92,1,Refrigerator,Home Appliances,8/9/2023,581,Passed,473,108,5,Hawkins-Miller,4,3,Melissa Kim,Afternoon Shift,Repairs,none,1091.279045,7.949725739,0,4,Human Error
93,3,Industrial Mixer,Industrial Machinery,8/20/2023,509,Passed,189,320,2,"Moore, Hernandez and Munoz",3,3,Melissa Kim,Afternoon Shift,Routine Maintenance,3.584796874,1105.171373,11.82735847,2,1,Technical Issues
94,1,Refrigerator,Home Appliances,4/7/2023,796,Passed,161,635,10,Campbell-Wong,3,10,Cheryl Nunez,Night Shift,Repairs,2.169472951,870.2517196,3.194545569,1,1,Human Error
95,6,Microwave Ovens,Home Appliances,4/9/2023,219,In-Between,218,1,9,Lawson-Herrera,3,4,Megan Allen,Night Shift,Routine Maintenance,4.119741556,1159.690219,11.67509034,4,2,Human Error
96,3,Industrial Mixer,Industrial Machinery,9/1/2023,445,Passed,315,130,5,Hawkins-Miller,2,7,Victor Hernandez,Night Shift,Routine Maintenance,3.055727604,819.3113587,3.64758297,1,5,Human Error
97,4,Diesel Generator,Industrial Machinery,8/8/2023,330,In-Between,329,1,10,Campbell-Wong,8,5,David Floyd,Afternoon Shift,Routine Maintenance,none,1341.247326,8.603061963,0,2,Material Shortage
98,5,Air Conditioners,Home Appliances,8/25/2023,490,Passed,470,20,10,Campbell-Wong,7,5,David Floyd,Afternoon Shift,Routine Maintenance,2.85127178,1279.97304,11.69813115,3,2,Human Error
99,6,Microwave Ovens,Home Appliances,7/23/2023,805,Passed,397,408,7,Ferguson Inc,4,7,Victor Hernandez,Night Shift,Repairs,none,1109.157168,4.533120879,0,3,Human Error
100,6,Microwave Ovens,Home Appliances,6/27/2023,357,Passed,187,170,6,"Hill, Thomas and Neal",2,2,Ashley Herring,Night Shift,Routine Maintenance,4.772787214,909.7901967,9.827893111,5,3,Human Error
101,6,Microwave Ovens,Home Appliances,9/24/2023,625,Passed,357,268,2,"Moore, Hernandez and Munoz",3,4,Megan Allen,Night Shift,Repairs,2.88172066,1039.251201,9.392712467,3,2,Material Shortage
102,1,Refrigerator,Home Appliances,8/30/2023,927,Failed,62,865,9,Lawson-Herrera,4,6,Taylor Davis,Morning Shift,Repairs,3.520919252,940.766965,7.428647221,5,3,Material Shortage
103,7,Industrial Cookers,Industrial Machinery,4/23/2023,227,Passed,226,1,9,Lawson-Herrera,5,7,Victor Hernandez,Night Shift,Routine Maintenance,4.207727649,907.477863,10.695733,5,5,Technical Issues
104,4,Diesel Generator,Industrial Machinery,5/10/2023,977,Passed,109,868,3,Hartman-Banks,10,2,Ashley Herring,Night Shift,Repairs,none,1216.190379,8.167431598,0,2,Technical Issues
105,1,Refrigerator,Home Appliances,8/30/2023,670,In-Between,63,607,5,Hawkins-Miller,8,2,Ashley Herring,Night Shift,Routine Maintenance,none,1034.582809,6.314433295,0,4,Material Shortage
106,4,Diesel Generator,Industrial Machinery,6/8/2023,468,Passed,418,50,2,"Moore, Hernandez and Munoz",10,5,David Floyd,Afternoon Shift,Repairs,3.895943274,980.7221916,7.195937418,4,1,Technical Issues
107,6,Microwave Ovens,Home Appliances,6/21/2023,436,In-Between,76,360,5,Hawkins-Miller,7,4,Megan Allen,Night Shift,Repairs,4.332603974,899.3592095,10.74401868,2,1,Technical Issues
108,1,Refrigerator,Home Appliances,5/14/2023,429,Passed,97,332,1,"Barnes, Butler and Russell",9,2,Ashley Herring,Night Shift,Repairs,1.690017594,1050.457986,10.91431006,5,4,Material Shortage
109,3,Industrial Mixer,Industrial Machinery,6/3/2023,890,In-Between,102,788,7,Ferguson Inc,2,9,Natasha Thomas,Morning Shift,Routine Maintenance,1.953657446,1004.307671,10.45076409,2,4,Material Shortage
110,3,Industrial Mixer,Industrial Machinery,4/21/2023,495,Failed,89,406,8,"Adams, Murphy and Wilson",6,4,Megan Allen,Night Shift,Repairs,none,834.1066409,10.55195552,0,1,Material Shortage
111,2,Washing Machine,Home Appliances,7/20/2023,363,Passed,268,95,4,"Yang, Walker and George",8,6,Taylor Davis,Morning Shift,Repairs,none,994.9261747,5.808108623,0,2,Technical Issues
112,2,Washing Machine,Home Appliances,8/25/2023,768,Passed,176,592,2,"Moore, Hernandez and Munoz",3,8,Sarah Lloyd,Afternoon Shift,Repairs,none,1085.612595,8.896628198,0,1,Human Error
113,1,Refrigerator,Home Appliances,4/25/2023,135,Passed,70,65,1,"Barnes, Butler and Russell",7,2,Ashley Herring,Night Shift,Routine Maintenance,none,944.7613818,7.133552725,0,5,Human Error
114,4,Diesel Generator,Industrial Machinery,7/13/2023,498,Passed,60,438,4,"Yang, Walker and George",6,10,Cheryl Nunez,Night Shift,Repairs,2.500461099,1251.934296,5.582855014,3,2,Human Error
115,1,Refrigerator,Home Appliances,6/2/2023,375,Passed,247,128,8,"Adams, Murphy and Wilson",4,8,Sarah Lloyd,Afternoon Shift,Repairs,1.0630163,1280.432288,9.848506546,1,5,Material Shortage
116,1,Refrigerator,Home Appliances,6/18/2023,411,Failed,410,1,1,"Barnes, Butler and Russell",8,3,Melissa Kim,Afternoon Shift,Repairs,none,1056.558991,10.1983807,0,4,Technical Issues
117,2,Washing Machine,Home Appliances,5/12/2023,153,Passed,152,1,4,"Yang, Walker and George",10,7,Victor Hernandez,Night Shift,Repairs,4.081932411,909.2464643,4.43206211,5,3,Human Error
118,4,Diesel Generator,Industrial Machinery,5/17/2023,802,Passed,382,420,10,Campbell-Wong,10,9,Natasha Thomas,Morning Shift,Repairs,3.711849595,1041.816578,8.554845887,3,5,Technical Issues
119,6,Microwave Ovens,Home Appliances,5/20/2023,365,Passed,250,115,2,"Moore, Hernandez and Munoz",3,2,Ashley Herring,Night Shift,Routine Maintenance,1.855322116,1278.392693,10.11904461,3,4,Technical Issues
120,4,Diesel Generator,Industrial Machinery,4/1/2023,817,In-Between,325,492,2,"Moore, Hernandez and Munoz",6,5,David Floyd,Afternoon Shift,Routine Maintenance,2.209899676,1281.7993,4.367075518,2,1,Human Error
121,6,Microwave Ovens,Home Appliances,8/3/2023,534,Failed,189,345,10,Campbell-Wong,4,6,Taylor Davis,Morning Shift,Routine Maintenance,1.803308352,1204.380216,7.568972664,3,2,Material Shortage
122,2,Washing Machine,Home Appliances,6/23/2023,628,Passed,117,511,10,Campbell-Wong,10,6,Taylor Davis,Morning Shift,Repairs,2.430333705,1105.01694,11.55204297,4,1,Human Error
123,4,Diesel Generator,Industrial Machinery,6/3/2023,611,Passed,103,508,9,Lawson-Herrera,2,9,Natasha Thomas,Morning Shift,Repairs,3.93615495,1058.284472,5.07442312,4,4,Technical Issues
124,6,Microwave Ovens,Home Appliances,5/31/2023,254,Passed,253,1,5,Hawkins-Miller,6,8,Sarah Lloyd,Afternoon Shift,Routine Maintenance,3.769200744,821.6440569,10.19774989,1,1,Human Error
125,7,Industrial Cookers,Industrial Machinery,8/15/2023,668,Passed,482,186,3,Hartman-Banks,1,8,Sarah Lloyd,Afternoon Shift,Repairs,2.396763829,807.1053495,6.301829345,3,1,Material Shortage
126,1,Refrigerator,Home Appliances,9/29/2023,913,Passed,319,594,8,"Adams, Murphy and Wilson",2,9,Natasha Thomas,Morning Shift,Routine Maintenance,2.190976725,1271.346559,4.828145748,4,2,Technical Issues
127,4,Diesel Generator,Industrial Machinery,8/11/2023,490,Passed,489,1,10,Campbell-Wong,8,8,Sarah Lloyd,Afternoon Shift,Repairs,3.218062175,1096.789285,11.08706452,1,2,Material Shortage
128,6,Microwave Ovens,Home Appliances,5/11/2023,899,Passed,271,628,3,Hartman-Banks,5,9,Natasha Thomas,Morning Shift,Repairs,4.879965577,1109.731617,9.768287224,2,3,Material Shortage
129,4,Diesel Generator,Industrial Machinery,7/16/2023,602,Failed,222,380,10,Campbell-Wong,9,2,Ashley Herring,Night Shift,Repairs,4.567566251,1053.954539,7.214015615,3,5,Material Shortage
130,3,Industrial Mixer,Industrial Machinery,8/14/2023,548,Passed,168,380,5,Hawkins-Miller,8,1,Amber Powell,Morning Shift,Routine Maintenance,1.808854209,1198.752362,6.562585692,1,5,Human Error
131,2,Washing Machine,Home Appliances,9/5/2023,711,Failed,68,643,7,Ferguson Inc,1,8,Sarah Lloyd,Afternoon Shift,Repairs,3.598812137,844.221973,7.825893615,4,3,Material Shortage
