Loan ID,Borrower ID,Borrower Name,Gender,Borrower Age,Marital Status,Borrower Address,Borrower Email,Borrower Phone Number,Loan Amount,Loan Type,Interest Rate,Loan Term,Loan Status,Credit Score,Income,Employment Status,Loan Origination Date,Loan Paid Date
1152,3616,Patricia Smith,Male,36,Not Married,"76992 Collins Corner Apt. 451
New Samanthaville, AL 72179",patricia.smith@yapi.com,001-829-247-0727,16742.02,Auto Loan,2.93,2 years,In Arrears,697,43000,Employed,9/5/2021, 
1361,3747,Matthew Golden,Female,39,Not Married,"8490 Scott Overpass
Sarahton, PR 27169",matthew.golden@yapi.com,947-974-7378x861,8089.03,Mortgage,9.99,2 years,In Arrears,845,76804,Employed,4/4/2021, 
371,1699,Leslie Reese,Male,51,Not Married,"4311 Gonzales Place Suite 859
New Josephshire, LA 07009",leslie.reese@yapi.com,-10316,5209.78,Auto Loan,2.04,4 years,Defaulted,600,10219,Unemployed,9/12/2020, 
1191,2596,William Williams,Male,52,Married,"PSC 1381, Box 4519
APO AA 81110",william.williams@yapi.com,435.471.5737x1291,10206.06,Personal Loan,8.16,3 years,In Arrears,827,46362,Employed,1/22/2019, 
625,2237,Dr. Brian Francis,Male,52,Not Married,"6806 James Shoals
Victorhaven, MD 84731",dr..brian.francis@yapi.com,(243)356-9184x938,8289.62,Mortgage,8.58,1 years,Paid Off,572,12671,Unemployed,12/1/2018,12/1/2019 0:00
349,3859,Christine Horton,Female,37,Not Married,"81905 Wright Harbor Apt. 857
Joditon, MT 73623",christine.horton@yapi.com,+1-343-579-6501x64919,6321.93,Mortgage,6.32,2 years,Defaulted,663,73801,Employed,9/13/2019, 
625,2971,Mathew Andrews,Male,35,Not Married,"43795 Tonya Hill Apt. 431
South Jeffreyshire, ND 32478",mathew.andrews@yapi.com,631.831.0846,61623.09,Auto Loan,4.73,2 years,Paid Off,603,78056,Employed,5/11/2020,3/11/2023 0:00
880,1683,Maurice Snyder,Male,38,Married,"6812 Karen Isle
Port Jamesstad, MH 95188",maurice.snyder@yapi.com,333.383.6588,14672.77,Auto Loan,6.1,4 years,Defaulted,718,25807,Employed,8/23/2019, 
531,3404,Christine Wood,Male,50,Married,"43166 Orr Trace Apt. 706
East Matthewmouth, NE 49248",christine.wood@yapi.com,+1-449-370-4209x02142,55503.18,Commercial Loan,5.42,1 years,Paid Off,793,65746,Employed,9/21/2021,6/21/2023 0:00
1040,2759,Peter Petty,Female,40,Married,"6076 Alexander Stravenue Suite 333
Barbaraburgh, NV 74275",peter.petty@yapi.com,(467)263-4230,30432.34,Auto Loan,9.09,4 years,Paid Off,803,60171,Employed,2/24/2019,4/24/2023 0:00
323,2563,Tonya Lee,Male,50,Married,"59197 Cody Expressway
West Derek, NM 55661",tonya.lee@yapi.com,3344311293,47258.79,Personal Loan,3.1,3 years,Paid Off,775,64731,Employed,7/9/2021,12/9/2024 0:00
621,2543,Sarah Mcfarland,Male,47,Not Married,"559 Sarah Lock
Benjaminfort, NH 05043",sarah.mcfarland@yapi.com,+1-455-377-7273x64681,9382.7,Auto Loan,4.49,1 years,Paid Off,621,68455,Self-Employed,5/28/2019,9/28/2020 0:00
757,2218,Erika Stevenson,Male,41,Married,"66353 Henry Shore Apt. 078
Matthewmouth, CA 77534",erika.stevenson@yapi.com,4964788331,8998.81,Mortgage,5.24,2 years,Defaulted,734,62519,Employed,12/22/2019, 
1039,2953,James Franco,Male,52,Not Married,"2862 Phillips Highway Apt. 230
East Jeff, OH 75646",james.franco@yapi.com,943-730-0864x8466,5891,Personal Loan,9.14,1 years,Paid Off,621,30478,Self-Employed,8/7/2019,10/7/2020 0:00
1469,2987,James Terrell,Male,45,Not Married,"87098 Murray Mountains Apt. 844
Vernonchester, WI 64852",james.terrell@yapi.com,3917316707,60181.86,Mortgage,3.01,5 years,Defaulted,775,63050,Self-Employed,1/19/2021, 
1142,2620,Vincent Barry,Female,45,Married,"Unit 2499 Box 4315
DPO AE 50414",vincent.barry@yapi.com,362.696.2053x64088,27128.22,Mortgage,5.09,2 years,Defaulted,651,44195,Employed,4/13/2020, 
37,2617,Luke Lowe,Female,48,Married,"628 Pierce Mills Suite 837
New Tammyberg, KS 63466",luke.lowe@yapi.com,(539)434-7952x25509,26455.7,Mortgage,6.26,3 years,Paid Off,721,40617,Employed,11/20/2018,1/20/2022 0:00
104,3277,Laura Lindsey,Female,30,Not Married,"6631 Simpson Creek
Lake Benjaminberg, MT 49511",laura.lindsey@yapi.com,(553)452-9376,3427.13,Mortgage,9.23,1 years,In Arrears,642,72461,Employed,8/16/2020, 
1328,3570,Johnny Contreras,Male,52,Married,"8400 Gregory Mission
Richardside, WA 91717",johnny.contreras@yapi.com,(695)607-2548x74422,25011.36,Commercial Loan,6.59,3 years,Paid Off,646,28305,Employed,12/6/2018,3/6/2022 0:00
414,1721,Denise Hamilton,Female,53,Not Married,"970 Gonzalez Mills Suite 731
Fisherton, ID 74910",denise.hamilton@yapi.com,(805)372-1598x94346,24068.55,Mortgage,5.24,4 years,Paid Off,847,61486,Employed,1/14/2019,11/14/2023 0:00
322,2854,Ashley Taylor,Male,43,Not Married,"8082 Joseph Villages
New Mark, CO 81648",ashley.taylor@yapi.com,001-509-450-4815x2493,27827.09,Mortgage,4.76,1 years,Paid Off,650,40440,Employed,11/21/2018,12/21/2019 0:00
1153,1849,Dennis Scott,Female,52,Married,"24499 Anderson Junction
Wrightborough, UT 67428",dennis.scott@yapi.com,207.663.3204x958,14500.55,Auto Loan,4.01,1 years,Paid Off,817,36193,Employed,11/15/2020,7/15/2022 0:00
462,3461,Cole Young,Male,28,Married,"0023 Ann Ports Apt. 331
Colleenville, OK 43569",cole.young@yapi.com,860-763-3612x566,4583.91,Personal Loan,2.92,3 years,Defaulted,718,49532,Self-Employed,3/28/2021, 
94,3233,David Li,Male,55,Married,"6316 Harrison Loaf Suite 738
Sharpmouth, NJ 31642",david.li@yapi.com,001-329-271-9059x3457,9954.54,Mortgage,5.44,4 years,Defaulted,760,30004,Employed,12/1/2020, 
837,2206,Arthur Miller,Male,41,Married,"19033 Matthew Brooks
East Audrey, AZ 84303",arthur.miller@yapi.com,(613)387-7971x06080,46120.39,Commercial Loan,3.48,2 years,In Arrears,673,48829,Employed,2/11/2021, 
719,2172,Riley Davis,Male,50,Married,"896 Kathleen Port
West Elizabethfort, SD 99200",riley.davis@yapi.com,407.674.2690x1013,4415.2,Personal Loan,7.22,2 years,Paid Off,711,35960,Employed,8/17/2019,12/17/2021 0:00
716,2110,Jeffrey Collins,Male,47,Married,"58003 April Mill
Carrieville, TX 62774",jeffrey.collins@yapi.com,(448)606-9578,67646.79,Mortgage,3.96,4 years,Defaulted,700,74748,Employed,8/18/2021, 
132,2433,Marisa Middleton,Male,49,Married,"3725 Lyons Tunnel
East Samanthaland, HI 22856",marisa.middleton@yapi.com,+1-919-575-9325x8965,55156.56,Mortgage,4.13,2 years,Paid Off,758,56032,Employed,9/3/2019,5/3/2022 0:00
392,1884,Holly Oconnor,Male,38,Married,"247 David Springs
New Katherine, MI 81235",holly.oconnor@yapi.com,(589)519-2607x77357,53664.42,Mortgage,9.9,2 years,Paid Off,792,68385,Employed,1/23/2019,5/23/2021 0:00
611,2795,Heather Hernandez,Male,46,Not Married,"04543 Johnny Trail
East Jacob, FM 02063",heather.hernandez@yapi.com,4635963624,50059.76,Mortgage,9.73,1 years,Paid Off,819,65621,Employed,9/22/2019,1/22/2021 0:00
817,3677,Laura Lopez,Male,55,Married,"774 Susan Branch Apt. 700
Frankfurt, SC 05376",laura.lopez@yapi.com,001-932-800-6630x30598,10293.18,Auto Loan,2.12,4 years,Defaulted,380,12983,Unemployed,6/13/2020, 
1030,2420,Lori Patterson,Female,42,Married,"41397 Roberts Branch
Courtneyfurt, GA 51732",lori.patterson@yapi.com,001-489-775-9807x17608,4946.16,Personal Loan,6.87,1 years,In Arrears,502,8232,Unemployed,9/18/2019, 
277,2763,Crystal Schwartz,Female,48,Married,"0905 Julie Center Apt. 025
Jonesville, GA 27147",crystal.schwartz@yapi.com,+1-620-324-5661x07900,27286.5,Personal Loan,6.8,5 years,Paid Off,814,32841,Employed,11/11/2020,11/11/2025 0:00
1179,3831,Joshua Robinson,Male,53,Married,"231 Curry Track
Port Samuel, IA 97153",joshua.robinson@yapi.com,(274)640-7104,5796.31,Commercial Loan,8.63,1 years,Paid Off,566,9055,Unemployed,2/19/2021,3/19/2022 0:00
737,1842,Angela Christensen,Male,40,Married,"848 Jones Way Suite 285
Amberfurt, IL 00559",angela.christensen@yapi.com,(521)366-7434x78447,30219.95,Commercial Loan,3.76,4 years,In Arrears,741,56643,Employed,9/20/2021, 
1422,3623,Wendy Larson,Male,47,Married,"5663 Smith Meadow Suite 645
Mirandaport, AK 95078",wendy.larson@yapi.com,(870)454-0808,2646.05,Mortgage,6.13,3 years,In Arrears,760,62772,Self-Employed,5/1/2021, 
1125,2801,Annette Bryant,Male,44,Not Married,"29334 Wilson Highway Suite 529
New Michele, TX 70219",annette.bryant@yapi.com,727-887-8494x7634,42274.75,Mortgage,4.44,4 years,Paid Off,761,46260,Employed,11/7/2019,11/7/2023 0:00
638,1692,Emily Jacobson,Male,44,Not Married,"38971 Katherine Alley
North Jenniferchester, MI 58260",emily.jacobson@yapi.com,882.889.6160x3162,23804.04,Commercial Loan,9.12,4 years,Paid Off,757,50748,Employed,12/21/2018,10/21/2023 0:00
118,3793,Kelly Young,Female,47,Not Married,"48270 Adrienne Isle
Pamelaberg, NV 99440",kelly.young@yapi.com,(697)351-2053x6089,18670.25,Mortgage,7.04,3 years,Paid Off,653,30165,Employed,9/29/2019,7/29/2023 0:00
22,3791,Lori Edwards DVM,Male,51,Married,"304 Holly Pike
West Miaberg, NJ 83882",lori.edwards.dvm@yapi.com,936.321.3532x69559,28769.91,Personal Loan,4.7,2 years,Defaulted,849,35611,Employed,2/8/2020, 
952,2178,Brian Gonzalez,Male,53,Married,"5144 White Causeway Suite 684
East Luisstad, MI 38892",brian.gonzalez@yapi.com,(231)286-8567x66572,18402.6,Commercial Loan,7.03,4 years,Defaulted,810,39923,Self-Employed,2/15/2019, 
50,3694,Johnny Hernandez,Male,30,Not Married,"66488 Cochran Common Suite 615
South Bradtown, VA 98100",johnny.hernandez@yapi.com,243.523.9102x41321,3069.21,Commercial Loan,5.26,3 years,In Arrears,607,37263,Employed,1/17/2021, 
924,3562,Nicholas Russell,Male,33,Not Married,"570 Kyle Trace Suite 626
Lisaton, MH 68415",nicholas.russell@yapi.com,(811)757-9552,20981.45,Personal Loan,8.91,2 years,Defaulted,705,65570,Employed,3/15/2020, 
103,2404,Melissa Copeland,Male,31,Married,"582 John Orchard
North Ianmouth, MS 25419",melissa.copeland@yapi.com,408-981-5115x184,2300.42,Personal Loan,7.25,2 years,In Arrears,637,34901,Employed,6/17/2019, 
1383,2519,Jeanne Doyle,Male,47,Married,"807 Steven Stream Suite 503
South Dylan, PA 70133",jeanne.doyle@yapi.com,(968)430-1555,34616.41,Auto Loan,5.52,4 years,Paid Off,825,59942,Employed,8/7/2019,11/7/2023 0:00
883,2299,Dylan Harris,Male,40,Not Married,"81284 Bobby Plain
Kelleyhaven, MH 96976",dylan.harris@yapi.com,396-249-4493x20295,22551.88,Auto Loan,8.33,1 years,Paid Off,812,39465,Self-Employed,8/10/2020,10/10/2021 0:00
356,3206,James Berger,Male,54,Married,"748 Jose Expressway
Port Catherine, WA 90538",james.berger@yapi.com,954.929.4474x582,10161.27,Personal Loan,6.27,3 years,Paid Off,506,14773,Unemployed,11/13/2019,11/13/2022 0:00
540,3678,Christopher Murray,Female,29,Not Married,"96285 Hughes Grove Suite 362
Melaniestad, ID 38512",christopher.murray@yapi.com,622-368-8518,29052.65,Mortgage,8.55,3 years,Defaulted,749,31152,Employed,12/29/2020, 
205,2496,Richard Johnston,Male,45,Married,"9199 Beasley Villages
East Jessicabury, MT 27224",richard.johnston@yapi.com,001-455-755-1622x51839,30304.82,Mortgage,4.78,2 years,Paid Off,795,32897,Self-Employed,5/11/2020,1/11/2023 0:00
648,2928,Kristen Gould,Male,30,Married,"USS Thompson
FPO AA 22773",kristen.gould@yapi.com,(474)219-4885,12399.49,Commercial Loan,7.15,3 years,In Arrears,722,71113,Employed,2/21/2020, 
1458,3136,Haley Brown,Male,39,Married,"91694 Eric Rue
Melvinmouth, CA 75846",haley.brown@yapi.com,596-412-6704,11400.34,Commercial Loan,8.03,3 years,Paid Off,600,67180,Employed,2/22/2020,1/22/2024 0:00
558,2590,Tyler Warren,Female,55,Married,"6546 Hinton Union
New Theresaland, MN 23057",tyler.warren@yapi.com,816.250.4609x27831,45643.45,Mortgage,8.9,1 years,Paid Off,738,54065,Employed,7/26/2019,6/26/2021 0:00
1228,3360,Karla Brown,Female,30,Married,"03322 Sandra Wells Apt. 985
Port Deborah, TN 51343",karla.brown@yapi.com,-4459,56175.11,Mortgage,2.76,1 years,In Arrears,786,59346,Employed,4/27/2019, 
252,2961,Michael Owens,Male,44,Not Married,"6706 John Coves
Sabrinatown, WY 01649",michael.owens@yapi.com,507-490-6865x03572,12284.33,Mortgage,6.2,4 years,In Arrears,790,54736,Self-Employed,1/20/2021, 
457,3213,Douglas Porter,Male,54,Married,"7238 Debra Parks Suite 332
Adamsport, NH 30403",douglas.porter@yapi.com,897-989-6405,4498.96,Mortgage,4.66,1 years,Paid Off,669,59632,Employed,7/25/2020,11/25/2021 0:00
465,3809,Andrea Rodgers,Female,46,Married,"934 Andre Ville Apt. 098
Port Donnahaven, VA 24761",andrea.rodgers@yapi.com,231-505-5425,27738.42,Personal Loan,5.69,3 years,Paid Off,704,78436,Employed,6/26/2021,9/26/2024 0:00
743,2606,Erica Daniel,Male,48,Married,"1976 Shannon Vista
West Markshire, GU 99240",erica.daniel@yapi.com,001-428-917-6642x39032,52453.05,Auto Loan,2.76,4 years,Paid Off,770,69292,Employed,2/13/2021,6/13/2025 0:00
1170,2983,James Montes,Female,46,Married,"03101 Angela Isle Apt. 600
Johnberg, IL 83203",james.montes@yapi.com,992-798-7020x90579,51854.28,Mortgage,3.71,4 years,Defaulted,660,76994,Employed,6/29/2019, 
857,1929,Casey Smith,Male,28,Married,"0318 Anthony Route Suite 267
Port Dean, NH 70000",casey.smith@yapi.com,001-456-868-7398,26782.6,Auto Loan,6.37,4 years,Paid Off,644,57832,Employed,5/23/2020,4/23/2025 0:00
344,1963,William Ramirez,Female,45,Not Married,"656 Cynthia Burg Suite 762
Davidborough, MS 47680",william.ramirez@yapi.com,702.964.2996,39239.38,Commercial Loan,8.34,2 years,Paid Off,832,77475,Self-Employed,5/5/2019,2/5/2022 0:00
907,3719,Jeffrey Moore,Female,34,Married,"USNS Jackson
FPO AA 26791",jeffrey.moore@yapi.com,999.585.0008,18205.32,Auto Loan,8.61,3 years,Paid Off,846,49973,Employed,5/24/2021,7/24/2024 0:00
1039,3749,Richard Todd,Male,49,Married,"15003 Jones Knolls
Randyburgh, CT 62107",richard.todd@yapi.com,(701)788-2226,1800.54,Personal Loan,6.93,4 years,Paid Off,550,16573,Unemployed,4/2/2020,11/2/2024 0:00
360,2278,Dale Martinez,Male,46,Not Married,"97943 Moody Lodge Apt. 466
Port Dennis, MS 39417",dale.martinez@yapi.com,+1-977-471-8343x692,37195.4,Commercial Loan,2.79,1 years,Paid Off,710,48492,Employed,10/31/2020,1/31/2022 0:00
1331,3632,Nicole Pearson,Male,44,Married,"624 Smith Island Suite 309
Millsmouth, MP 70274",nicole.pearson@yapi.com,001-859-731-3599x02016,28444.08,Commercial Loan,4.2,2 years,Paid Off,820,30955,Employed,11/21/2020,7/21/2023 0:00
188,3166,Patrick Smith,Male,51,Not Married,"0686 Joshua Rapids Suite 577
Davidview, PA 67016",patrick.smith@yapi.com,(704)830-6800x7405,15568.04,Auto Loan,5.13,2 years,Defaulted,825,67384,Employed,7/13/2020, 
833,3246,Diane Russell,Male,35,Married,"21308 Hall Field
Archerport, MA 89475",diane.russell@yapi.com,474-930-0176x378,32645.14,Auto Loan,6.14,4 years,In Arrears,774,57079,Employed,6/22/2020, 
705,3665,Richard Young,Female,29,Married,"75302 Willis Curve Suite 863
Port Samanthaside, MS 39968",richard.young@yapi.com,-804,11006.25,Personal Loan,3.1,4 years,Defaulted,731,69533,Employed,4/6/2020, 
581,3066,Kimberly Powell,Female,35,Married,"02013 Laura Pine
Port Sylviamouth, VT 62793",kimberly.powell@yapi.com,895-327-4543x3840,19047.09,Mortgage,3.6,3 years,Paid Off,732,27327,Employed,9/24/2018,10/24/2021 0:00
273,2330,Karen Rodriguez,Male,44,Married,"39137 Luis Stream
East Cody, WV 15302",karen.rodriguez@yapi.com,(759)740-5971,30843.42,Mortgage,6.99,4 years,Defaulted,779,40811,Self-Employed,7/28/2020, 
49,1812,Erin Jones,Male,41,Married,"390 Lambert Course Apt. 891
North Kevinchester, VT 21021",erin.jones@yapi.com,861.460.9094x906,32464.5,Commercial Loan,8.46,4 years,Defaulted,820,41141,Self-Employed,1/17/2021, 
646,2420,Eric Meyer,Male,36,Married,"468 Marvin Dale
Chadview, OR 87793",eric.meyer@yapi.com,+1-583-893-6029x421,18620.05,Auto Loan,9.34,2 years,Paid Off,718,44686,Employed,4/26/2020,7/26/2022 0:00
505,2317,Donna Dean,Female,29,Married,"4747 Taylor Valleys
Buchananfurt, MP 49073",donna.dean@yapi.com,358.882.7143,39142.87,Commercial Loan,5.78,2 years,In Arrears,699,61904,Employed,6/22/2020, 
674,3838,Kevin Arnold,Male,44,Married,"Unit 3119 Box 2609
DPO AA 22144",kevin.arnold@yapi.com,559.841.8166,33102.41,Auto Loan,7.83,2 years,Paid Off,803,41729,Self-Employed,3/3/2020,4/3/2022 0:00
986,2330,Stacy Williams,Female,44,Married,"USNS Chapman
FPO AA 57906",stacy.williams@yapi.com,(383)590-9224,6899.07,Auto Loan,9.51,1 years,Paid Off,759,79549,Employed,10/4/2019,5/4/2021 0:00
1051,3243,Natalie Lee,Male,48,Not Married,"179 Ian Road
Jonesside, RI 57689",natalie.lee@yapi.com,674.594.4707x09460,1719.19,Mortgage,8.56,1 years,Paid Off,349,16552,Unemployed,4/28/2020,2/28/2022 0:00
837,2851,Lisa Patel,Male,51,Married,"356 Jones Gateway
West Nicholasport, VA 81537",lisa.patel@yapi.com,001-279-324-5526x1211,5940.24,Personal Loan,2.91,1 years,Paid Off,713,30485,Self-Employed,6/26/2021,12/26/2022 0:00
1246,3349,Richard Young,Female,52,Not Married,"729 Mark Mills Apt. 823
Stephaniechester, MN 89467",richard.young@yapi.com,979.512.9495x321,19781.37,Mortgage,2.22,2 years,In Arrears,702,56694,Self-Employed,11/4/2020, 
1068,2167,Michelle Smith,Female,33,Married,"290 Frederick Loop
Lake Amy, SC 71900",michelle.smith@yapi.com,001-584-280-1187x161,7816.95,Auto Loan,2.13,4 years,Paid Off,552,12763,Unemployed,6/7/2020,12/7/2024 0:00
21,2491,Christopher Harris,Female,36,Married,"40498 Jesse Passage Suite 800
East Kathrynstad, TN 93970",christopher.harris@yapi.com,660-585-3809,2364.91,Auto Loan,2.95,4 years,Paid Off,701,58765,Employed,12/17/2020,12/17/2024 0:00
1126,2805,Joshua Jones,Male,52,Married,"PSC 7993, Box 0559
APO AE 28243",joshua.jones@yapi.com,001-641-250-5152x75535,41205.99,Commercial Loan,8.24,4 years,In Arrears,629,59566,Employed,12/12/2018, 
1176,2144,Heather Phillips,Female,51,Not Married,"64772 William Lights Suite 801
West Erin, CA 71462",heather.phillips@yapi.com,-9473,11697.64,Mortgage,2.1,3 years,Paid Off,665,59672,Employed,3/29/2021,1/29/2025 0:00
1404,2568,Gavin Hall,Male,42,Married,"392 Joshua Mews
North Albertshire, TN 14004",gavin.hall@yapi.com,(820)692-7930x17661,8305.1,Auto Loan,3.7,2 years,Paid Off,388,18193,Unemployed,11/17/2020,5/17/2023 0:00
441,2158,Emily Floyd,Female,35,Married,"59616 Gregory Mills Apt. 287
Lake Joseph, OR 26089",emily.floyd@yapi.com,+1-461-798-8492x36514,44225.29,Commercial Loan,6.8,4 years,Paid Off,671,69227,Employed,6/30/2019,10/30/2023 0:00
150,2771,Patricia Ross,Female,36,Married,"715 Richard Pass Suite 568
West Julieshire, PW 82567",patricia.ross@yapi.com,(982)455-0657,26281.59,Mortgage,5.16,4 years,Paid Off,637,34256,Employed,12/12/2018,10/12/2023 0:00
1097,2790,Barbara Cunningham,Male,32,Married,"USS Griffith
FPO AP 18629",barbara.cunningham@yapi.com,(617)483-8196,4698,Personal Loan,2.71,2 years,Paid Off,532,10463,Unemployed,1/12/2021,12/12/2023 0:00
253,2899,Christian Bailey,Male,55,Married,"4945 Sandra Bypass Suite 115
North Davidfurt, AK 79041",christian.bailey@yapi.com,750.458.3827x51131,5838.43,Personal Loan,6,2 years,Defaulted,619,43786,Employed,7/1/2019, 
419,2341,Stacie Walls,Male,28,Married,"3229 Campbell Keys Apt. 405
Richardport, MS 83834",stacie.walls@yapi.com,(250)838-0050,3782.01,Personal Loan,2.53,1 years,In Arrears,814,54329,Employed,3/1/2019, 
